,Player,Pos,Age,Tm,G,GS,MP,PTS,TS%,FTM,FTA,FT%,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,OREB,OREB%,DREB,DREB%,TREB,TREB%,AST,AST%,STL,STL%,BLK,BLK%,TOV,TOV%,USG%,OFFWS,DEFWS,WS,WS/48,BPM,VORP,eFG%,PF
0,Alex Abrines\abrinal01,SG,24,OKC,75,8,1134,353,0.5670000000000001,39,46,0.848,115,291,0.395,84,221,0.38,31,70,0.44299999999999995,26,2.5,88,8.9,114,5.6,28,3.4,38,1.7,8,0.6,25,7.4,12.7,1.3,1.0,2.2,0.094,-2.2,-0.1,0.54,124
1,Quincy Acy\acyqu01,PF,27,BRK,70,8,1359,411,0.525,49,60,0.8170000000000001,130,365,0.35600000000000004,102,292,0.349,28,73,0.384,40,3.1,217,17.0,257,10.0,57,6.0,33,1.2,29,1.6,60,13.3,14.4,-0.1,1.1,1.0,0.036000000000000004,-2.2,-0.1,0.496,149
2,Steven Adams\adamsst01,C,24,OKC,76,76,2487,1056,0.63,160,286,0.5589999999999999,448,712,0.629,0,2,0.0,448,710,0.631,384,16.6,301,13.9,685,15.3,88,5.5,92,1.8,78,2.8,128,13.2,16.7,6.7,3.0,9.7,0.187,3.3,3.3,0.629,215
3,Bam Adebayo\adebaba01,C,20,MIA,69,19,1368,477,0.57,129,179,0.721,174,340,0.512,0,7,0.0,174,333,0.523,118,9.7,263,21.6,381,15.6,101,11.0,32,1.2,41,2.5,66,13.6,15.9,2.3,1.9,4.2,0.14800000000000002,0.2,0.8,0.512,138
4,Arron Afflalo\afflaar01,SG,32,ORL,53,3,682,179,0.516,22,26,0.846,65,162,0.401,27,70,0.386,38,92,0.413,4,0.6,62,10.1,66,5.3,30,6.2,4,0.3,9,1.1,21,10.8,12.5,-0.1,0.2,0.1,0.009000000000000001,-5.8,-0.7,0.485,56
5,Cole Aldrich\aldrico01,C,29,MIN,21,0,49,12,0.34,2,6,0.33299999999999996,5,15,0.33299999999999996,0,0,,5,15,0.33299999999999996,3,7.0,12,28.6,15,17.7,3,8.2,2,2.0,1,1.8,1,5.4,16.8,-0.1,0.1,0.0,-0.013000000000000001,-6.9,-0.1,0.33299999999999996,11
6,LaMarcus Aldridge\aldrila01,C,32,SAS,75,75,2509,1735,0.57,334,399,0.8370000000000001,687,1347,0.51,27,92,0.293,660,1255,0.526,246,10.8,389,17.3,635,14.0,152,11.3,43,0.9,90,3.0,111,6.8,29.1,7.4,3.5,10.9,0.209,3.3,3.3,0.52,161
7,Jarrett Allen\allenja01,C,19,BRK,72,31,1441,587,0.636,114,147,0.7759999999999999,234,397,0.589,5,15,0.33299999999999996,229,382,0.599,144,10.5,244,18.2,388,14.3,49,5.4,28,0.9,88,4.6,82,15.1,16.3,2.7,1.5,4.2,0.141,0.2,0.8,0.596,147
8,Kadeem Allen\allenka01,PG,25,BOS,18,1,107,19,0.366,7,9,0.778,6,22,0.273,0,11,0.0,6,11,0.545,4,4.1,7,7.1,11,5.6,12,15.2,3,1.4,2,1.6,9,25.7,14.6,-0.2,0.1,-0.1,-0.039,-6.4,-0.1,0.273,15
9,Tony Allen\allento01,SF,36,NOP,22,0,273,103,0.514,11,21,0.524,44,91,0.484,4,12,0.33299999999999996,40,79,0.506,20,8.2,27,10.4,47,9.3,9,4.6,11,1.9,3,0.9,19,15.9,18.9,-0.2,0.2,0.1,0.017,-5.2,-0.2,0.505,49
